source_id,type,title,author_org,date,url_or_locator,notes
WEB-407,news,Zhipu Hong Kong debut / IPO,CNBC,2026-01-08,cnbc.com/2026/01/08/china-ai-tiger-goes-ipo-zhipu-hong-kong-debut-openai-knowledge-atlas-hsi-hang-seng-listing.html,
WEB-408,news,MiniMax doubles in Hong Kong debut,CNBC,2026-01-09,cnbc.com/2026/01/09/minimax-hong-kong-ipo-ai-tigers-zhipu.html,
WEB-409,news,Moonshot Kimi K2 surpasses xAI on OpenRouter,OpenRouter (X/Twitter),2025,x.com/OpenRouterAI/status/1944466834167919043,Directional; low-formality source
WEB-411,news,China drafts $295bn plan for national AI data center grid,Bloomberg / Tom's Hardware,2026-06-09,bloomberg.com/news/articles/2026-06-09/china-prepares-295-billion-plan-to-fund-nationwide-ai-buildout,
WEB-412,news,China AI Data Center Grid Locks Out Nvidia,TechTimes,2026-06-22,techtimes.com/articles/318868/20260622/china-ai-data-center-grid-locks-out-nvidia-295-billion-domestic-chip-mandate.htm,
WEB-413,analyst,"Huawei Ascend, Cambricon, Hygon Day-0 adaptation to DeepSeek-V4",TrendForce,2026-04-29,trendforce.com/news/2026/04/29/news-huawei-ascend-cambricon-and-hygon-completed-day-0-adaptation-to-deepseek-v4,
WEB-414,blog,DeepSeek V4 specs/benchmarks/pricing,NxCode / MorphLLM,2026,nxcode.io/resources/news/deepseek-v4-release-specs-benchmarks-2026 ; morphllm.com/deepseek-v4,D-grade aggregator
WEB-415,product page,Kimi K2.6 / K2 Thinking specs,OpenRouter,2026,openrouter.ai/moonshotai/kimi-k2.6 ; openrouter.ai/moonshotai/kimi-k2-thinking,Primary product listing
WEB-417,news,Tencent Launches Hunyuan 3.0: 295B rivals GPT-5.5,BigGo Finance,2026-07,finance.biggo.com/news/b62ccd99-eb32-4232-b36c-3d28046eaa14,
WEB-418,blog,Tencent Hy3 295B Open MoE,Hy3AI / ExplainX,2026-07,hy3ai.com ; explainx.ai/blog/tencent-hy3-295b-moe-open-source-agentic-model-2026,D-grade
WEB-419,analyst,OpenRouter data shows 61% Chinese-model token share,KuCoin News,2026-05/06,kucoin.com/news/flash/openrouter-data-shows-61-of-token-consumption-by-chinese-ai-models,
WEB-420,product page,Qwen pricing 2026,eesel AI,2026,eesel.ai/blog/qwen-pricing,
WEB-421,news,China's AI chatbots advanced and versatile,NPR,2026-03-30,npr.org/2026/03/30/nx-s1-5760939/china-chatbot-industry-doubao-qwen-yuanbao,DAU/MAU peaks
WEB-422,blog,Top 5 Chinese AI Search Engines 2026,SecondTalent,2026,secondtalent.com/resources/top-5-chinese-ai-search-engines,"D-grade, combined MAU"
WEB-423,news,Chinese AI models gaining ground with US companies,CNBC,2026-07-07,cnbc.com/2026/07/07/chinese-ai-models-costs-us-openai-anthropic.html,"GLM-5.2, Copilot vs Tongyi Lingma share, coding-agent market size"
WEB-424,analyst,China's Open-Weight Takeover,Data Gravity (Chris Zeoli),2026,datagravity.dev/p/chinas-open-weight-takeover,DeepSeek 16-17.6% OpenRouter share
WEB-425,analyst,Share of US models on OpenRouter collapsed 70%→30%,OfficeChai,2026,officechai.com/ai/share-of-us-models-being-used-on-openrouter-has-collapsed-from-70-to-30-over-the-past-year,
WEB-426,news,ByteDance raises Volcano Engine's MaaS revenue target,KrAsia,2026,kr-asia.com/bytedance-raises-volcano-engines-maas-revenue-target-on-seedance-2-0-growth,
WEB-427,blog,Volcengine consuming 50 trillion tokens daily,36Kr (EU),2026,eu.36kr.com/en/p/3602323540346114,"D-grade, ByteDance capex figure"
WEB-428,news,Baidu Q1 2026: AI Revenue Surpasses 50%,AlphaPilot,2026-05,alphapilot.tech/discover/baidu-q1-2026-ai-revenue-surpasses-50-as-cloud-and-ernie-5-1-drive-growth,
WEB-429,news,Baidu Says AI Made Up Majority of Q1 2026 Business Revenue,Winbuzzer,2026-05-19,winbuzzer.com/2026/05/19/baidu-says-ai-is-now-the-majority-of-its-business-xcxwbn,
WEB-430,news,DeepSeek could hit $45B valuation,TechCrunch,2026-05-06,techcrunch.com/2026/05/06/deepseek-could-hit-45b-valuation-from-its-first-investment-round,
WEB-431,news,Tencent to back DeepSeek in $4B round at $50B valuation,TechFundingNews,2026,techfundingnews.com/tencent-to-back-deepseek-in-4b-round-at-50b-valuation-marking-first-external-funding-report,
WEB-433,blog,Best Chinese AI Models for Coding 2026,AIMadeTools,2026,aimadetools.com/blog/best-chinese-ai-coding-models-2026,"D-grade, Kimi K2.7 Code pricing"
WEB-434,company blog,ERNIE 5.1 Officially Released,Baidu (ERNIE Blog),2026-05-08,ernie.baidu.com/blog/posts/ernie-5.1-0508-release,Primary company disclosure
WEB-436,analyst,China's next five-year bet on AI,Merics,2026,merics.org/en/comment/chinas-next-five-year-bet-ai-self-reliance-diffusion-and-lot-hype,
WEB-437,blog,China's Big AI Diffusion Plan is Here,Matt Sheehan (Substack),2026,mattsheehan.substack.com/p/chinas-big-ai-diffusion-plan-is-here,
WEB-438,analyst,The Inaugural Year of Industrial AI Agents,Tianxia Gongchang Research,2026,faxiangongchang.com/en/reports/china-industrial-ai-agent-2026,Smart-factory SOE pilot data
WEB-445,news,Zhipu AI market cap tops HK$1 trillion,SCMP,2026-06,scmp.com/tech/article/3357858/zhipu-ai-market-cap-tops-hk1-trillion-shares-glm-52-developer-soar,
WEB-446,news,AI Firm Zhipu to Raise $4 Billion,Bloomberg,2026-07-08,bloomberg.com/news/articles/2026-07-08/ai-firm-zhipu-to-sell-4-billion-of-shares-after-1-500-rally,
WEB-447,news,MiniMax's market cap drops from ~HK$410B to HK$109B,KuCoin News,2026-07,kucoin.com/news/flash/minimax-s-market-cap-plummets-from-41b-to-10b-hkd-in-six-months,Headline units ambiguous (bn HKD vs bn USD); reconciled against stockanalysis.com HKG:0100
WEB-448,data,MiniMax Group (HKG:0100) Market Cap & Net Worth,StockAnalysis.com,2026-07,stockanalysis.com/quote/hkg/0100/market-cap,
WEB-601,news,China's next five-year bet on AI,Merics,2026,merics.org/en/comment/chinas-next-five-year-bet-ai-self-reliance-diffusion-and-lot-hype,15th FYP AI framing
WEB-603,news,China Integrated Circuit Industry Investment Fund,Wikipedia,2026,en.wikipedia.org/wiki/China_Integrated_Circuit_Industry_Investment_Fund,Big Fund phase sizes
WEB-604,news,China Piles $47.5 Billion Into Big Fund III,Caixin Global,2024-05-28,caixinglobal.com/2024-05-28/china-piles-475-billion-into-big-fund-iii-to-boost-chip-development-102200633.html,Big Fund III size
WEB-605,news,China Plans $295 Billion Investment to Build Nationwide AI Data Centers,Bloomberg,2026-06-09,bloomberg.com/news/articles/2026-06-09/china-prepares-295-billion-plan-to-fund-nationwide-ai-buildout,DC grid plan
WEB-607,news,China Launches $138B State-Backed Fund,The AI Insider,2025-03-27,theaiinsider.tech/2025/03/27/china-launches-138b-state-backed-fund-to-accelerate-ai-and-robotics-innovation/,AI+robotics fund
WEB-609,news,China AI Data Center Grid Locks Out Nvidia,TechTimes,2026-06-22,techtimes.com/articles/318868/20260622/china-ai-data-center-grid-locks-out-nvidia-295-billion-domestic-chip-mandate.htm,SOE mandate figure
WEB-610,gov,China AI+ Opinions 2025,CSET / State Council,2025-08-26,cset.georgetown.edu/publication/china-ai-plus-opinions-2025/,AI+ Initiative primary translation
WEB-611,news,From Vouchers to Visas,FPRI,2025-09,fpri.org/article/2025/09/from-vouchers-to-visas-chinas-innovative-plan-for-ai-dominance/,Provincial compute vouchers
WEB-614,gov,U.S. Export Controls and China: Advanced Semiconductors,Congressional Research Service,2025-08-22,congress.gov/crs-product/R48642,Master export-control timeline
WEB-615,news,What is HBM and why is the US trying to block China's access,CNN Business,2024-12-08,cnn.com/2024/12/08/tech/us-china-hbm-chips-hnk-intl,HBM controls detail
WEB-616,analyst,Commerce Strengthens Export Controls,Covington & Burling,2024-12,cov.com/en/news-and-insights/insights/2024/12/us-department-of-commerce-strengthens-export-controls-on-advanced-computing-and-semiconductor-manufacturing-items,FDPR/SME/HBM Dec-2024 rule
WEB-618,gov,Additions and Revisions to the Entity List,Federal Register,2025-09-16,federalregister.gov/documents/2025/09/16/2025-17893/additions-and-revisions-to-the-entity-list,Sept-2025 Entity List additions
WEB-620,news,Xi Is Overcoming His Dislike of the Stock Market,Foreign Policy,2024-10-29,foreignpolicy.com/2024/10/29/xi-china-stock-market-rally-slow-bull-stimulus/,Slow bull pivot
WEB-622,analyst,China Hits Pause on Rare-Earth Export Controls,Clark Hill,2025-11,clarkhill.com/news-events/news/china-hits-pause-on-rare-earth-export-controls-and-what-it-means-for-supply-chains/,Rare earth suspension
WEB-624,analyst,BIS Export Policy Shift,Introl,2026,introl.com/blog/bis-export-policy-h200-mi325x-china-case-by-case-2026,H200 case-by-case rule
WEB-630,analyst,Xi's Taiwan scorecard: why 2026 is not the year,ASPI Strategist,2026,aspistrategist.org.au/xis-taiwan-scorecard-why-2026-is-not-the-year/,Taiwan risk assessment
WEB-631,news,China Expands Pre-Profit IPO Access to AI and Quantum,TechTimes,2026-06-18,techtimes.com/articles/318621/20260618/china-expands-pre-profit-ipo-access-ai-quantum-star-market-rules-now-live.htm,STAR Market 5th standard
WEB-635,gov,Outbound Investment Security Program,US Treasury,2025,home.treasury.gov/policy-issues/international/outbound-investment-program,OISP primary source
WEB-637,analyst,Trump Signs COINS Act,Baker McKenzie,2025-12,sanctionsnews.bakermckenzie.com/president-trump-signs-coins-act-codifying-and-expanding-outbound-investment-regulations/,NDAA FY26 OISP expansion
WEB-639,news,China mulls limiting foreign access to advanced AI models,Fortune / Reuters,2026-07-08,fortune.com/2026/07/08/china-mulls-limiting-foreign-access-advanced-ai-models/,Single-source/developing; D confidence
WEB-641,news,Biren IPO debut coverage,RTHK/SCMP,2026-01-02,news.rthk.hk/rthk/en/component/k2/1838353-20260102.htm,Biren mkt cap and pricing
WEB-643,news,Moore Threads files IPO raises $1.1 billion,Jon Peddie Research,2025-2026,jonpeddie.com/news/moore-threads-files-ipo-raises-1-1-billion/,Moore Threads IPO size
WEB-646,news,MetaX set for Shanghai debut,SCMP,2026,scmp.com/tech/tech-trends/article/3336611/metax-set-shanghai-debut-amid-market-frenzy-over-ai-chip-stocks-nvidia-uncertainty,MetaX IPO pricing/valuation
WEB-649,news,Zhipu vs MiniMax valuation gap,SCMP,2026-06,scmp.com/tech/big-tech/article/3356390/minimax-once-led-zhipu-hong-kongs-ai-stock-race-how-tables-have-turned,Zhipu/MiniMax mkt cap evolution
WEB-651,news,Baidu shares jump as Kunlunxin targets $50 billion HK IPO,CNBC,2026-06-29,cnbc.com/2026/06/29/baidu-kunlunxin-hong-kong-ipo-50-billion-ai-chips.html,Kunlunxin valuation escalation
WEB-654,analyst,China A-H share premium narrows,IndexBox / Smartkarma,2026-04,indexbox.io/blog/h-a-share-premium-narrows-as-global-investors-rethink-chinese-tech-stocks/,Montage AH premium reversal
WEB-655,news,Inside CXMT's US$4.3b IPO,SCMP,2026,scmp.com/tech/big-tech/article/3359168/inside-cxmts-us43b-ipo-soaring-profits-meet-us-export-threat-and-high-stakes-hbm-race,CXMT IPO detail
WEB-658,news,Chinese Chipmaker YMTC Moves Toward IPO,Caixin Global,2026-05-20,caixinglobal.com/2026-05-20/tech-brief-may-20-chinese-chipmaker-ymtc-moves-toward-ipo-102445848.html,YMTC filing detail
WEB-660,analyst,New era for China technology - Investment Outlook 2026,UBP,2026,ubp.com/en/news-insights/newsroom/new-era-for-chinese-technology-investment-outlook-2026,HSTECH fwd P/E
WEB-663,news,Chinese AI Models Hit 61% Market Share On OpenRouter,Dataconomy,2026-02,dataconomy.com/2026/02/25/chinese-ai-models-hit-61-market-share-on-openrouter/,Updated OpenRouter share
WEB-664,analyst,AI cooperation under the shadow of China's Digital Silk Road,DFRLab,2026-02,dfrlab.org/2026/02/25/china-digital-silk-road-report/,BRI/Digital Silk Road diffusion
WEB-665,filing,ChangXin Memory (CXMT) STAR Market IPO prospectus / subscription,SSE STAR Market,2026-07-16,SSE STAR filing; subscription opened 16-Jul-2026,"CXMT raise, Q1/1H-2026 financials, valuation"
WEB-666,filing,Zhipu AI FY2025 annual results & 8-Jul-2026 top-up placement,HKEX:2513,2026-07-08,HKEX 2513 audited FY2025 results; placement terms 8-Jul-2026,"Zhipu rev/loss, adjusted loss, ~$4.0bn placement"
WEB-667,filing,MiniMax FY2025 full-year results,HKEX:0100,2026-03-02,HKEX 0100 FY2025 results release,"MiniMax rev/loss, adjusted loss, segment split"
WEB-668,filing,"Alibaba SEC 6-K results (Sep-2025, Dec-2025, Mar-2026 quarters)",Alibaba Group / SEC EDGAR,2026-05-12,"SEC 6-K EX-99.1, CIK 1577552",Group FCF by quarter; Cloud Intelligence Group revenue & growth
WEB-669,filing,Baidu SEC 6-K Q1-2026 results,Baidu Inc / SEC EDGAR,2026-05-18,"SEC 6-K, BIDU","AI-cloud infra +79%, GPU-cloud +184%, core-AI 52% of Baidu-Core"
